,Date,Density,AVG_COEF,Modularity,AD_Pv,AD_Sv,AD_Cv,B_Sv,B_Cv
76,2020-04-15,0.0291005291005291,0.002888655462184874,0.04870129870129931,0.007389162561576354,0.037037037037037035,0.01020408163265306,1.509433962264151,0.2857142857142857
77,2020-04-16,0.039473684210526314,0.006818181818181818,0.06666666666666657,0.014285714285714285,0.05263157894736842,0.02,1.5135135135135136,0.4
78,2020-04-17,0.04779411764705882,0.00849673202614379,0.07918552036199085,0.0196078431372549,0.0625,0.027777777777777776,1.5161290322580645,0.4722222222222222
79,2020-04-18,0.0641025641025641,0.013736263736263736,0.1038461538461537,0.03296703296703297,0.08333333333333333,0.047619047619047616,1.5217391304347827,0.6190476190476191
80,2020-04-19,0.06818181818181818,0.017857142857142856,0.11111111111111102,0.038461538461538464,0.09090909090909091,0.05555555555555555,1.5238095238095237,0.6666666666666666
81,2020-04-20,0.09722222222222222,0.025925925925925925,0.15079365079365067,0.06666666666666667,0.125,0.1,1.5333333333333334,0.9
82,2020-04-21,0.10714285714285714,0.0375,0.16666666666666666,0.08333333333333333,0.14285714285714285,0.125,1.5384615384615385,1.0
83,2020-04-22,0.11904761904761904,0.05952380952380953,0.18571428571428572,0.10714285714285714,0.16666666666666666,0.16666666666666666,1.5454545454545454,1.1666666666666667
84,2020-04-23,0.2,0.06666666666666667,0.275,0.2,0.25,0.3333333333333333,1.5714285714285714,1.6666666666666667
85,2020-04-24,0.125,0.020833333333333332,0.17857142857142846,0.08333333333333333,0.14285714285714285,0.125,1.5384615384615385,1.0
86,2020-04-25,0.16666666666666666,0.041666666666666664,0.2333333333333334,0.14285714285714285,0.2,0.2222222222222222,1.5555555555555556,1.3333333333333333
87,2020-04-26,0.16666666666666666,0.041666666666666664,0.2333333333333334,0.14285714285714285,0.2,0.2222222222222222,1.5555555555555556,1.3333333333333333
88,2020-04-27,0.14285714285714285,0.028571428571428574,0.2023809523809524,0.10714285714285714,0.16666666666666666,0.16666666666666666,1.5454545454545454,1.1666666666666667
89,2020-04-28,0.14285714285714285,0.028571428571428574,0.2023809523809524,0.10714285714285714,0.16666666666666666,0.16666666666666666,1.5454545454545454,1.1666666666666667
90,2020-04-29,0.1111111111111111,0.015873015873015872,0.1597222222222222,0.06666666666666667,0.125,0.1,1.5333333333333334,0.9
91,2020-04-30,0.1111111111111111,0.015873015873015872,0.1597222222222222,0.06666666666666667,0.125,0.1,1.5333333333333334,0.9
92,2020-05-01,0.2,0.06666666666666667,0.275,0.2,0.25,0.3333333333333333,1.5714285714285714,1.6666666666666667
